species,residual_set,index,residual
Anchovy,SSB_LE_500K,1,1.130179
Anchovy,SSB_LE_500K,2,-1.560023
Anchovy,SSB_LE_500K,3,-3.904618
Anchovy,SSB_LE_500K,4,2.345358
Anchovy,SSB_LE_500K,5,-1.047859
Anchovy,SSB_LE_500K,6,-0.07381831
Anchovy,SSB_LE_500K,7,0.04209131
Anchovy,SSB_LE_500K,8,-1.19354
Anchovy,SSB_LE_500K,9,-0.7590794
Anchovy,SSB_LE_500K,10,-0.1065625
Anchovy,SSB_LE_500K,11,-1.17598
Anchovy,SSB_LE_500K,12,-0.1964866
Anchovy,SSB_LE_500K,13,-0.2909648
Anchovy,SSB_LE_500K,14,0.1228664
Anchovy,SSB_LE_500K,15,-0.5560936
Anchovy,SSB_LE_500K,16,-2.479774
Anchovy,SSB_LE_500K,17,0.2245572
Anchovy,SSB_LE_500K,18,-2.148514
Anchovy,SSB_LE_500K,19,-0.3410365
Anchovy,SSB_LE_500K,20,-0.1756472
Anchovy,SSB_LE_500K,21,-3.560827
Anchovy,SSB_LE_500K,22,-0.891888
Anchovy,SSB_LE_500K,23,-1.878452
Anchovy,SSB_LE_500K,24,-0.6451933
Anchovy,SSB_LE_500K,25,-2.478021
Anchovy,SSB_LE_500K,26,0.2347934
Anchovy,SSB_LE_500K,27,-2.642164
Anchovy,SSB_LE_500K,28,-2.179921
Anchovy,SSB_LE_500K,29,-1.787104
Anchovy,SSB_GT_500K,1,-1.505953
Anchovy,SSB_GT_500K,2,-0.3534996
Anchovy,SSB_GT_500K,3,0.1128377
Anchovy,SSB_GT_500K,4,-0.271121
Anchovy,SSB_GT_500K,5,-0.1140884
Anchovy,SSB_GT_500K,6,-0.08762817
Anchovy,SSB_GT_500K,7,-2.025329
Anchovy,SSB_GT_500K,8,0.5303406
Anchovy,SSB_GT_500K,9,0.006809879
Anchovy,SSB_GT_500K,10,0.1860918
Anchovy,SSB_GT_500K,11,-1.057225
Anchovy,SSB_GT_500K,12,-1.609937
Anchovy,SSB_GT_500K,13,-1.702491
Anchovy,SSB_GT_500K,14,0.2144275
Anchovy,SSB_GT_500K,15,0.9717022
Anchovy,SSB_GT_500K,16,0.8932256
