predator,age,prey,base,scenario_2
Sealion,-1,Anchovy,0.028,
Sealion,-1,Sardine,0.12,
Sealion,-1,Other_forage,0.418,
Sealion,-1,Other_prey,0.434,
Pelican,-1,Anchovy,0.644,
Pelican,-1,Sardine,0.262,
Pelican,-1,Other_forage,0.077,
Pelican,-1,Other_prey,0.017,
Sealion,0,Anchovy,0,
Sealion,1,Anchovy,0.5,
Sealion,2,Anchovy,1,
Sealion,3,Anchovy,1,
Sealion,4,Anchovy,1,
Sealion,5,Anchovy,1,
Sealion,6,Anchovy,1,
Sealion,0,Sardine,0,
Sealion,1,Sardine,0.1,
Sealion,2,Sardine,0.2,
Sealion,3,Sardine,1,
Sealion,4,Sardine,1,
Sealion,5,Sardine,1,
Sealion,6,Sardine,1,
Sealion,7,Sardine,1,
Sealion,8,Sardine,1,
Sealion,9,Sardine,1,
Sealion,10,Sardine,1,
Sealion,11,Sardine,1,
Sealion,12,Sardine,1,
Sealion,13,Sardine,1,
Sealion,14,Sardine,1,
Sealion,15,Sardine,1,
Sealion,0,Other_forage,0,
Sealion,1,Other_forage,1,
Sealion,2,Other_forage,1,
Sealion,3,Other_forage,1,
Sealion,4,Other_forage,1,
Sealion,5,Other_forage,1,
Pelican,0,Anchovy,0.1,
Pelican,1,Anchovy,0.8,
Pelican,2,Anchovy,1,
Pelican,3,Anchovy,1,
Pelican,4,Anchovy,1,
Pelican,5,Anchovy,1,
Pelican,6,Anchovy,1,
Pelican,0,Sardine,0.1,
Pelican,1,Sardine,0.2,
Pelican,2,Sardine,0.8,
Pelican,3,Sardine,1,
Pelican,4,Sardine,1,
Pelican,5,Sardine,1,
Pelican,6,Sardine,1,
Pelican,7,Sardine,1,
Pelican,8,Sardine,1,
Pelican,9,Sardine,1,
Pelican,10,Sardine,1,
Pelican,11,Sardine,1,
Pelican,12,Sardine,1,
Pelican,13,Sardine,1,
Pelican,14,Sardine,1,
Pelican,15,Sardine,1,
Pelican,0,Other_forage,0.8,
Pelican,1,Other_forage,1,
Pelican,2,Other_forage,1,
Pelican,3,Other_forage,1,
Pelican,4,Other_forage,1,
Pelican,5,Other_forage,1,
