species,state,period
Sardine,low,80
Sardine,low,50
Sardine,low,30
Sardine,low,200
Sardine,low,20
Sardine,low,40
Sardine,low,30
Sardine,low,120
Sardine,low,140
Sardine,low,30
Sardine,low,20
Sardine,low,30
Anchovy,low,50
Anchovy,low,70
Anchovy,low,30
Anchovy,low,20
Anchovy,low,20
Anchovy,low,40
Anchovy,low,20
Anchovy,low,20
Anchovy,low,50
Anchovy,low,50
Anchovy,low,130
Anchovy,low,60
Anchovy,low,30
Anchovy,low,40
Sardine,high,50
Sardine,high,180
Sardine,high,50
Sardine,high,140
Sardine,high,20
Sardine,high,150
Sardine,high,60
Sardine,high,40
Sardine,high,90
Sardine,high,80
Sardine,high,50
Anchovy,high,50
Anchovy,high,20
Anchovy,high,110
Anchovy,high,100
Anchovy,high,20
Anchovy,high,30
Anchovy,high,170
Anchovy,high,70
Anchovy,high,170
Anchovy,high,70
Anchovy,high,70
Anchovy,high,30
Anchovy,high,30
Anchovy,high,130
Other_forage,low,100
Other_forage,high,100
